"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 16, 98
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 20, 126
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 16, 91
"c:\laragon\www\formation-doctorat\resources\js\Pages\Auth\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"c:\laragon\www\formation-doctorat\resources\js\Pages\Candidate\Applications.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 5, 152
"c:\laragon\www\formation-doctorat\resources\js\Pages\Candidate\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\laragon\www\formation-doctorat\resources\js\Pages\Candidate\MultiStepForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\laragon\www\formation-doctorat\resources\js\Pages\Candidature.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\laragon\www\formation-doctorat\resources\js\Pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 18
"c:\laragon\www\formation-doctorat\resources\js\Pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\laragon\www\formation-doctorat\resources\js\Pages\PhdPrograms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 43
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\AcceptedApplicants.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\AcceptedApplicantsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 3, 80
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\ActionsDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\AddThesis.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 9, 131
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\ApplicantsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 1, 7, 133
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\ApprovedApplicants.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\ApprovedApplicantsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 3, 121
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\CandidateData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 6, 82
"c:\laragon\www\formation-doctorat\resources\js\Pages\Professor\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
